Name,Type,Skill,Level,Step,Stars,Stock,Star 1,Star 2,Star 3,Star 4,Star 5,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Achievement,Needs,Cost to max,Upgradable,RankPower,Rank,Team,URL,URL Mutation,Mutation 1,Mutation 2
Bufonobi,Water,Attack,250,5,5,0,20,20,20,Max,10,1,1,1,1,1,1,0,0,,5250,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXczs_Bjhslhr7Mf2HENU6MTyGpz0RJEMjNA&s, ,,Shadowkaeru
Vulpyrean,Fire,Attack,250,5,5,0,20,20,20,Max,10,1,1,1,1,1,1,0,0,,5250,2,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDZWuq2tiKYc0zKRxpHXrLSMZ1GsY_6wEIYw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF27Z8fOuiwM1qjDFQVY262gS_QKIJamMNg&s,,
Hoofrit,Fire,Attack,250,4,4,11,15,15,15,Max,,1,1,1,1,0,0.487179487,489,0,,4250,4,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwfHFWjB1bN67FJNyjjWvBJwviWJ3Tada0Yg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkOv6mOI5FaIAjcVgErYDwVaivkH3WdUQIzw&s,Flaries,
Ghillant,Wood,Defend,240,4,4.1,0,5,5,5,Max,,1,1,1,1,0.2,0.58974359,400,708400000,1,4340,3,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwDXppnwkCtCXXAqUiiNMhf6T-lane54jPg&s, ,Chefeuillier,
Gnashley,Water,Defend,250,4,4,83,15,15,15,Max,,1,1,1,1,0,0.487179487,417,0,,4250,5,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtrOr7ePo-_tg085QaHk6NorM32ywE44672A&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTII6bAUVzdPfr_45Db3bGwDuIVxhe-n4dSSgHRGJaEpg&s,Gnashfin,
Magmolin,Fire,Defend,240,3,3.1,61,10,5,15,,,1,1,1,0.2,0,0.241025641,679,708400000,1,3340,9,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRebc6KbOAxblleg_L3rr2K13bt-Yyzq1bAaw&s, ,Obsidrake,
Limudroid,Electricity,Attack,230,2,2.2,4,1,1,5,,,1,1,0.4,0,0,0.117948718,856,1267600000,1,2430,18,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzaI21taP2V17MKjiPAeulm4V9qfST4umPdg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMlruQNUenhVk-fAEq9d3Wi8zw--0GbkLGJrX1CuQ1&s,Bunodroid,
Barkplug,Electricity,Defend,220,3,3,0,14,5,10,,,1,1,1,0,0,0.179487179,800,1703200000,1,3220,11,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf59xsunrPEuFvdtBi-IRVMcrdBfW_vNshLA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUDpuK5BvjXDFqgMZvlxYadsaFFQDKOQrNCAHymiAy_w&s,Wattweiler,
Abuzzinian,Electricity,Defend,220,2,2.3,14,1,1,1,,,1,1,0.6,0,0,0.138461538,826,1703200000,1,2520,14,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-r6BZKxjf-kMlCmzHjhnUHjvmCaOn5DxiYw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR23XO-FCNYoHOIhLnxge8AzFmdP8mD1D-mzQ&s,Servolt,
Escarffier,Fire,Defend,230,2,2.3,8,5,5,5,,,1,1,0.6,0,0,0.138461538,832,1267600000,1,2530,13,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcST2CrUIPAlFNBLPgZn0Tu93KelabHVVAbNLQ&s, ,Essaucier,
Lucidina,Water,Attack,240,3,3.2,60,5,5,15,,,1,1,1,0.4,0,0.302564103,620,708400000,1,3440,7,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9A_xtftnwTH1zCnLIOcgmJKNZtFnB-e8QOw&s, ,Oneirina,
Woozard,Wood,Attack,240,2,2.2,23,1,1,1,,,1,1,0.4,0,0,0.117948718,837,708400000,1,2440,17,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCf63iS9oq-SMn3DO74UTS2j_zSrzNVTRMOQ&s, ,Fleurizard,
Statchew,Wood,Defend,220,2,2.2,10,15,5,9,,,1,1,0.4,0,0,0.117948718,850,1703200000,1,2420,19,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC1rp-0lIuUyVvSi8kN_vJnr_Ln4mF4lh4zg&s, ,Anubeast,
Battereina,Electricity,Attack,210,2,2,13,1,1,1,,,1,1,0,0,0,0.076923077,887,2038400000,1,2210,25,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaumzt62POzCPWE5kNVnUA5j6pKVetbogSOJqvW2HU&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTun-SMpIMKagR2SMRlAysEcjxhO7sD6Nq3IQ&s,Ampereina,
Fulgairy,Electricity,Defend,210,2,2.2,8,5,5,10,,,1,1,0.4,0,0,0.117948718,852,2038400000,1,2410,20,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvhKm8Syu_29_yraif6I_ybijQhVUhvDmMNg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLJe_mmX76tcOcm93Zzrq-x4btMmg4l1csw&s,Keraunosaur,
Blazeal,Fire,Attack,240,3,3,10,15,10,15,,,1,1,1,0,0,0.179487179,790,708400000,1,3240,10,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsDMtJC3uCFkue3lLpIZqf7OpQgR7XoKOS8g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc2Arfa7L5NJadx_WdnWjGTYRLP6bgvNMsDUbraRNI&s,Wildfuror,
Pipistrigoi,Fire,Attack,220,2,2,13,1,1,15,,,1,1,0,0,0,0.076923077,887,1703200000,1,2220,23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSdARGNHB_mPJlsb0v4ULv5HaXw2movjzNTNSrkzsi&s, ,Azurostrigoi,
Fingenue,Water,Attack,200,2,2,13,5,1,5,,,1,1,0,0,0,0.076923077,887,2292700000,1,2200,27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMvgcplGCQCmIPq5ypILKf8v4mBVwxsMgKdg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK8ZtDU3nBBFFGN2vhlNn2ACJuBBoGsnFHZC7On4Gb&s,Finnabelle,
Dolphriend,Water,Defend,200,2,2.2,1,1,1,1,,,1,1,0.4,0,0,0.117948718,859,2292700000,1,2400,21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5ThIRML8-S9czd3JEMxpMlnMn9UAMwdeiBw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQp9fQrKVHd_zzyuSxM8QSOjlZsRbJ0lwxrg&s,Adolphonis,
Ninjump,Water,Attack,150,2,2.3,10,1,1,1,,,1,1,0.6,0,0,0.138461538,830,2845200000,1,2450,15,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlW5YoM4c6bArAuIb7UxI-VfUI9GmBp85Qig&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXczs_Bjhslhr7Mf2HENU6MTyGpz0RJEMjNA&s,Bufonobi,Shadowkaeru
Surveilynx,Wood,Attack,220,2,2,0,10,10,10,,,1,1,0,0,0,0.076923077,900,1703200000,1,2220,24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2Z4TkKenIldVD1AQ7o1ftBU6pG9zKRz-FKA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt6lIf0Em_f_DT0VurOVsujswJCEmGOpJk4N6txfed&s,Camouflynx,
Salamantis,Wood,Attack,200,2,2,0,1,1,1,,,1,1,0,0,0,0.076923077,900,2292700000,1,2200,28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPFSxpzP3XhhfdRhxvv_Oi86DkexX6yjZrRA&s,,Silvaurus,
Regalion,Water,Defend,200,2,2,0,10,10,10,,,1,1,0,0,0,0.076923077,900,2292700000,1,2200,29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToQuTLjFC_oynclPIY9tWM7qAaMIPbmzTn2Q&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0uWep-9VXcdMd6qSpdASqYR42mG4SmBsCjw&s,Lionarch,
Mantleray,Electricity,Attack,210,2,2,37,4,1,1,,,1,1,0,0,0,0.076923077,863,2038400000,1,2210,26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWhzppoZXwh-zBnWIY3GFkIp0x0kc0hAzG0A&s, ,Sorceray,
Oleana,Wood,Attack,230,3,3.2,11,1,1,1,,,1,1,1,0.4,0,0.302564103,669,1267600000,1,3430,8,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ02wmDjsAMofj1ObwwNW6Vhl_QQ-LUodGIKA&s, ,,
Spookaboo,Fire,Attack,200,3,3,10,1,1,1,,,1,1,1,0,0,0.179487179,790,2292700000,1,3200,12,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT29K673YTBvt_EofrppvnWB4sgt43DEq1pTw&s, ,,
Baboom,Wood,Attack,210,2,2.1,10,5,1,1,,,1,1,0.2,0,0,0.097435897,870,2038400000,1,2310,22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh7P3oaH_Kq0fni1aOxe3TmDgHULu_Z-UWUg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQA67-vNrm701vphmHvRKGkJTx2O2gyTi00Q&s,Rumbkey,
Pyregeist,Fire,Defend,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxjczIZhaTQV2VukHWlKoJMQ30DrUIwatAEw&s, ,Embergeist,
Thundertooth,Electricity,Attack,,0,,15,,,,,,0,0,0,0,0,0,960,2921073700,,0,31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNSg29kZ5t51s7m9SpGygJKsQow67zLt08qg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoXkXemCK02vmhKICXcvjchtQ-qvcAc5zyrA&s,Thundermane,
Mammolith,Wood,Defend,,0,,,,,,,,0,0,0,0,0,0,975,2921073700,,0,32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR4T5jdtF_LaheoRmg2FLSWS4DS4QhqCFaAg&s, ,Prismalith,
